"post_id","post_date","post_date_gmt","guid__rendered","post_modified","post_modified_gmt","slug","post_status","post_type","link","post_title","post_content","content__protected","post_excerpt","excerpt__protected","post_author","featured_media","comment_status","ping_status","sticky","template","format","meta__spay_email","meta__jetpack_publicize_message","categories__-","tags__001","tags__002","tags__003","tags__004","tags__005","tags__006","tags__007","tags__008","tags__009","jetpack_featured_media_url","jetpack_shortlink","_links__|","_links__|__name","_links__|__taxonomy","_links__|__id","_links__|__count","_links__|__embeddable","_links__|__href","_links__|__templated"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","post_tag","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/tags?post=247521",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","curies","wp","","","","","https://api.w.org/{rel}","True"
"247517","2020-06-11T15:07:10","2020-06-11T20:07:10","https://fernandafamiliar.soy/?p=247517","2020-06-11T15:07:49","2020-06-11T20:07:49","cavan-tumbas-en-playa-de-rio-de-janeiro","publish","post","https://fernandafamiliar.soy/noticias/mundo/cavan-tumbas-en-playa-de-rio-de-janeiro/","¡Cavan tumbas en playa de Río de Janeiro!","<p>Imágenes de personas cavando tumbas en las playas Río de Janeiro, Brasil, han asombrado a propios y extraños. Ocurre que ciudadanos brasileños críticos de la respuesta ambigua de su gobierno a la pandemia del coronavirus cavaron 100 tumbas y clavaron cruces negras en la arena de la playa de Copacabana, este jueves, como un tributo a las cerca de 40,000 personas que han muerto en el país por COVID-19 hasta el momento.</p><p>Las tumbas fueron cavadas durante la noche en la playa frente al elegante Copacabana Hotel en el marco de una protesta montada por la organización no gubernamental Río de Paz.</p><p>Brasil se ha convertido en epicentro de la pandemia del coronavirus, con 39,680 muertes y más de 770,000 casos confirmados hasta el miércoles, el peor brote en el mundo después de Estados Unidos.</p><p>El presidente Jair Bolsonaro ha restado importancia a la gravedad de la pandemia y ha presionado a los gobiernos locales para que levanten las medidas de cuarentena, enviando señales contradictorias a los brasileños sobre si deben usar máscaras y practicar la distancia social.</p><p>«El presidente no se ha dado cuenta de que esta es una de las crisis más dramáticas en la historia de Brasil», dijo el organizador Antonio Carlos Costa, quien criticó a Bolsonaro por no mostrar solidaridad con quienes sufren la pandemia.</p><p>«Las familias están llorando a miles de muertos, y hay desempleo y hambre», afirmó.</p><p>No todos estuvieron de acuerdo con la protesta.</p><p>Un hombre molesto arrancaba las cruces y gritaba contra el tributo simbólico. Otro hombre, que afirmó que su hijo de 25 años murió de COVID-19, iba reemplazando las cruces caídas.</p><p>«Es una gran tragedia», dijo la transeúnte Marcia Lucia Dias. «Es aterrador ver las cruces. Pero esto está pasando realmente. Nuestras autoridades se contradicen y no sabemos qué hacer».</p><figure class=""wp-block-embed-twitter wp-block-embed is-type-rich is-provider-twitter""><div class=""wp-block-embed__wrapper""><blockquote class=""twitter-tweet"" data-width=""550"" data-dnt=""true""><p lang=""es"" dir=""ltr"">Así amanece hoy la famosa playa de <a href=""https://twitter.com/hashtag/Copacabana?src=hash&amp;ref_src=twsrc%5Etfw"">#Copacabana</a> en Río de Janeiro. <br><br>Cavan 100 tumbas simbólicas en la orilla para protestar contra la gestión del gobierno de <a href=""https://twitter.com/jairbolsonaro?ref_src=twsrc%5Etfw"">@jairbolsonaro</a> durante la pandemia<a href=""https://twitter.com/hashtag/Brasil?src=hash&amp;ref_src=twsrc%5Etfw"">#Brasil</a>🇧🇷 alcanza ya los 40 mil muertos por <a href=""https://twitter.com/hashtag/COVID19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID19</a><br><br>Video: <a href=""https://twitter.com/riodepaz?ref_src=twsrc%5Etfw"">@riodepaz</a> <a href=""https://t.co/XOkFJ8vMWg"">pic.twitter.com/XOkFJ8vMWg</a></p>&mdash; Luis De Jesús 🇵🇷 (@ldejesusreyes) <a href=""https://twitter.com/ldejesusreyes/status/1271046529747386368?ref_src=twsrc%5Etfw"">June 11, 2020</a></blockquote><script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script></div></figure><p><em>Información de Reuters</em></p>","False","<p>Imágenes de personas cavando tumbas en las playas Río de Janeiro, Brasil, han asombrado a propios&#8230;</p>","False","85","247518","open","open","False","","standard","","","14155","638","4845","24892","24893","3265","","","","","https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-15.03.02.png","https://wp.me/p794bQ-12od","self","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247517",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","collection","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","about","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/types/post",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","author","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/users/85",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","replies","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/comments?post=247517",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","version-history","","","","2","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247517/revisions",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","predecessor-version","","","247520","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247517/revisions/247520",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:featuredmedia","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/media/247518",""
